State,Democratic,Republican,Other
AL,515619,968181,1699
AK,60045,90839,106654
AS,,,
AZ,592011,1005615,110858
AR,288156,451618,40183
CA,5218137,4217386,564337
CO,854685,824789,98194
CT,605204,498341,49570
DE,174012,123053,10337
DC,,,
FL,1092936,2645743,1672427
GA,996516,1489904,68838
GU,,,
HI,277228,79939,13416
ID,112057,319953,17520
IL,3360964,3456427,433066
IN,697775,952116,94590
IA,371686,718215,26162
KS,220971,587175,29546
KY,600052,755706,338
LA,476572,715415,73007
ME,,,
MD,1140531,655666,37661
MA,,,
MI,,,
MN,,,
MS,,,
MO,789736,1054160,100003
MT,,,
NE,,,
NV,362785,321361,37258
NH,167545,273218,14386
NJ,,,
NM,,,
NY,5166091,2577913,1361563
NC,1145074,1458046,56959
ND,52955,181689,4168
OH,1503297,2168742,143059
OK,265814,718482,32855
OR,825507,566199,50882
PA,1948716,2028945,
RI,,,
SC,364598,810771,143425
SD,,227947,
TN,,,
TX,,,
UT,207685,390179,35965
VT,151281,72699,11198
VI,,,
VA,,,
WA,1314930,1196164,
WV,283358,230013,16577
WI,1020958,1125999,24374
WY,,,
