State,Democratic,Republican,Other
AL,538878,792561,21584
AK,24133,179438,25977
AS,,,
AZ,,,
AR,433306,370653,
CA,,,
CO,648130,717893,50059
CT,,,
DE,135253,94793,2268
DC,,,
FL,,,
GA,932422,1071352,27830
GU,,,
HI,,,
ID,132975,266215,9354
IL,2103766,1325703,57382
IN,,,
IA,554278,447892,20905
KS,,641075,135775
KY,399634,731679,162
LA,1235554,1229344,16731
ME,209858,295041,
MD,,,
MA,1605976,,400782
MI,1896614,1185545,47128
MN,1078627,1116697,59315
MS,,533269,97226
MO,913778,935032,28810
MT,204853,103611,18073
NE,70290,397438,12489
NV,,,
NH,207478,227229,12428
NJ,1138193,928439,45972
NM,169039,314301,
NY,,,
NC,1047983,1248664,34534
ND,,,
OH,,,
OK,369789,583579,65056
OR,501898,712287,53036
PA,,,
RI,253922,69881,259
SC,487359,600010,15579
SD,167481,166957,3070
TN,728295,891420,22706
TX,1955758,2496243,62011
UT,,,
VT,,,
VA,,1229894,259528
VI,,,
WA,,,
WV,275281,160902,
WI,,,
WY,49570,133710,
