State,Democratic,Republican,Other
AL,,795606,22484
AK,129431,135445,17524
AS,,,
AZ,,,
AR,334174,478819,34512
CA,,,
CO,944203,983891,112964
CT,,,
DE,130655,98823,4560
DC,,,
FL,,,
GA,1160811,1358088,48906
GU,,,
HI,246827,98006,8941
ID,151574,285596,
IL,1929637,1538522,135360
IN,,,
IA,494370,588575,46755
KS,,460350,405841
KY,584698,806787,44383
LA,1200443,1532156,13034
ME,190244,413495,269
MD,,,
MA,1289944,791950,3078
MI,1704936,1290199,126640
MN,1053205,850227,78096
MS,239439,378481,13938
MO,,,
MT,148184,213709,7933
NE,170127,347636,22574
NV,,,
NH,251184,235347,1628
NJ,1043866,791297,34372
NM,286409,229097,
NY,,,
NC,1377651,1423259,114371
ND,,,
MP,,,
OH,,,
OK,472230,1115168,54225
OR,814537,538847,108234
PA,,,
PR,,,
RI,223675,92684,539
SC,916309,1430156,132592
SD,82456,140741,56215
TN,437848,850087,86130
TX,1597387,2861531,189440
UT,,,
VT,,,
VI,,,
VA,1073667,1055940,54866
WA,,,
WV,156360,281820,15509
WI,,,
WY,29377,121554,17459
