State,Democratic,Republican,Other
AL,,,
AK,,,
AS,,,
AZ,664141,814398,48243
AR,,,
CA,5076289,2990822,474365
CO,,,
CT,450844,109198,574738
DE,170567,69734,13798
DC,,,
FL,2890548,1826127,76859
GA,,,
GU,,,
HI,210330,126097,6415
ID,,,
IL,,,
IN,,1171553,169558
IA,,,
KS,,,
KY,,,
LA,,,
ME,111984,402598,29399
MD,965477,787182,28480
MA,1500738,661532,3220
MI,2151278,1559597,69267
MN,1278849,835653,88270
MS,213000,388399,9522
MO,1055255,1006941,66263
MT,199845,196283,10377
NE,378388,213928,
NV,238796,322501,21275
NH,,,
NJ,1200843,997775,51452
NM,394365,163826,359
NY,2698931,1212902,578220
NC,,,
ND,150146,64417,3589
OH,2257369,1761037,830
OK,,,
OR,,,
PA,2392984,1684778,3281
RI,206110,179001,340
SC,,,
SD,,,
TN,879976,929911,23808
TX,1555202,2661789,97672
UT,177459,356238,37555
VT,,84924,177495
VI,,,
VA,1175606,1166277,28562
WA,1184659,832106,66969
WV,296276,155043,8565
WI,1439214,630299,68784
WY,57671,135174,291
