State,Democratic,Republican,Other
AL,752391,1305383,2417
AK,151767,147814,18142
AS,,,
AZ,,,
AR,804678,,207076
CA,,,
CO,1231049,990784,109879
CT,,,
DE,257539,140595,
DC,,,
FL,,,
GA,2667316,3095130,127995
GU,,,
HI,,,
ID,219903,371744,53133
IL,3615844,1520621,193419
IN,,,
IA,941665,560006,1247
KS,441399,727121,42170
KY,847005,953816,
LA,988298,867177,41099
ME,279510,444300,620
MD,,,
MA,1971974,926044,97229
MI,3038386,1641070,169164
MN,1212629,1212317,462700
MS,480915,766111,1243473
MO,,,
MT,348289,129369,
NE,317456,455854,19201
NV,,,
NH,358438,314403,21946
NJ,1951218,1461025,70202
NM,505128,318522,
NY,,,
NC,2249311,1887510,135149
ND,,,
OH,,,
OK,527736,763375,55708
OR,864392,805159,97953
PA,,,
PR,,,
RI,320644,116174,1994
SC,790621,1076534,4276
SD,237889,142784,
TN,767236,1579477,77872
TX,3389365,4337469,185241
UT,,,
VT,,,
VI,,,
VA,2369327,1228830,45137
WA,,,
WV,447560,254629,119
WI,,,
WY,126833,372109,562
