State,Democratic,Republican,Other
AL,748709,1335104,3631
AK,36200,138149,137092
AS,,,
AZ,1031245,1359267,140218
AR,400602,661984,44936
CA,12244176,,
CO,1370710,1215318,157001
CT,920766,552621,122889
DE,,,
DC,,,
FL,4122088,4835191,344541
GA,1599726,2135806,163073
GU,,,
HI,306604,92653,17305
ID,188249,449017,41677
IL,3012940,2184692,294246
IN,1158947,1423991,149608
IA,549460,926007,65569
KS,379740,732376,65806
KY,813246,1090177,42
LA,1043104,1722080,52458
ME,,,
MD,1659907,972557,93706
MA,,,
MI,,,
MN,,,
MS,,,
MO,1300200,1378458,123983
MT,,,
NE,,,
NV,521994,495079,91221
NH,354649,353632,30859
NJ,,,
NM,,,
NY,4784218,1723920,888167
NC,2128165,2395376,167592
ND,58116,268788,15597
MP,,,
OH,1996908,3118567,258689
OK,355911,980892,111244
OR,1105119,651106,196253
PA,2865012,2951702,241797
PR,,,
RI,,,
SC,704540,1241609,103744
SD,104140,265516,
TN,,,
TX,,,
UT,301860,760241,53507
VT,192243,103637,17929
VI,,,
VA,,,
WA,1913979,1329338,
WV,,,
WI,1380335,1479471,88935
WY,,,
