State,Democratic,Republican,Number_of_Elections_Included,Democratic_Percent,Republican_Percent
AK,738308.8290072104,1258851.590745876,3,0.3696787261898123,0.6303197716797309
AL,719844.0117410811,1277316.4080120055,4,0.36043302425249335,0.6395649729079004
AR,990355.2088781941,1006805.2108748925,3,0.4958809074325193,0.5041175904370239
AZ,686717.7621820809,1310442.6575710056,3,0.3438465552643565,0.6561519426051867
CA,1189323.8031059112,807836.616647175,3,0.5955065025439681,0.40449199532557517
CO,1029441.5918153356,967718.827937751,4,0.5154515980925634,0.48454639906783037
CT,1220440.709093243,776719.7106598438,2,0.6110873592565037,0.38891163932269024
DE,1263393.9301279592,733766.489625127,4,0.632593850377204,0.36740414678318983
FL,931660.3162666489,1065500.1034864378,3,0.46649177881589277,0.5335067190536504
GA,865651.0159116511,1131509.4038414354,4,0.4334400349564976,0.5665579622038962
HI,1453852.2974022336,543308.122350853,3,0.7279586052011588,0.2720398926683843
IA,901451.8134219602,1095708.6063311263,4,0.45136584875340835,0.5486321484069854
ID,641871.81300465,1355288.6067484368,3,0.3213917332233162,0.678606764646227
IL,1207534.61266809,789625.8070849966,5,0.6046242342897064,0.3953732621620394
IN,1044945.2074438753,952215.2123092113,2,0.5232149359054453,0.47678406267374873
KS,622828.6080982802,1374331.8116548064,3,0.31185660719505953,0.6881418906744836
KY,878560.2263650247,1118600.193388062,4,0.439903804451735,0.5600941927086588
LA,956496.6410348506,1040663.7787182357,4,0.4789273389684683,0.5210706581919256
MA,1372561.280248683,624599.1395044036,2,0.6872557117404481,0.31274328683874597
MD,1227289.5032749705,769870.916478116,3,0.6145163140564146,0.3854821838131287
ME,678654.8791181799,1318505.5406349066,3,0.33980938785774645,0.6601891100117967
MI,1227839.7431121229,769320.6766409634,3,0.6147918247290567,0.3852066731404865
MN,1062617.6765866154,934542.7431664711,3,0.5320634586417515,0.46793503922779167
MO,932194.6075534692,1064965.8121996173,4,0.4667590701764647,0.5332389269839292
MS,792357.9156632167,1204802.5040898696,3,0.39674165259905353,0.6032568452704896
MT,1263378.6953031968,733781.7244498897,3,0.6325865388919405,0.3674119589776027
NC,956997.9318357507,1040162.4879173358,4,0.4791783402360364,0.5208196569243574
ND,1070649.3395075065,926511.0802455801,3,0.5360849938058013,0.4639135040637418
NE,798613.4624720598,1198546.9572810265,3,0.39987386839420186,0.6001246294753414
NH,862600.4913628142,1134559.9283902722,4,0.4319126071099641,0.5680853900504297
NJ,1110925.259739938,886235.1600131487,3,0.5562515559579415,0.44374694191160163
NM,1111430.711430457,885729.7083226294,3,0.5565046407508634,0.44349385711867995
NV,1058846.1294599674,938314.2902931189,3,0.5301750067056981,0.46982349116384514
NY,1362370.007091757,634790.4126613297,4,0.6821521521298629,0.31784584503053087
OH,887144.0977891439,1110016.3219639426,3,0.4442020562838185,0.5557964415857247
OK,751633.7075223725,1245526.712230714,4,0.376350439697548,0.6236475574628457
OR,1093734.7058469611,903425.7139061255,4,0.5476437968898833,0.45235420027051043
PA,1012273.954398966,984886.4653541204,3,0.5068558458396538,0.4931426520298895
RI,1367008.2888415104,630152.1309115762,3,0.6844749284515317,0.31552356941801146
SC,815298.2366629356,1181862.1830901508,4,0.40822789981594637,0.5917700973444475
SD,1078425.6128543653,918734.8068987213,3,0.5399786528173509,0.46001984505219223
TN,840664.4442831093,1156495.9754699774,3,0.4209292218996492,0.579069275969894
TX,829980.9234356597,1167179.4963174267,3,0.41557987454941075,0.5844186233201325
UT,647276.4687337847,1349883.9510193018,3,0.32409789921638404,0.6759005986531592
VA,1158827.6378174156,838332.7819356708,2,0.5802370535094908,0.4197619450697033
VT,1415523.7525782995,581636.667174787,2,0.7087674685733891,0.29123153000580493
WA,1114219.7037710212,882940.7159820653,3,0.5579011175303694,0.4420973803391738
WI,1150012.1374574804,847148.2822956059,3,0.5758227524514038,0.4241757454181394
WV,1236698.8202104291,760461.5995426571,4,0.6192273445184472,0.38077065264194654
WY,548365.6869511455,1448794.7328019408,3,0.27457226660948014,0.725426231260063
